Model,Departure Time,Departure Location,Arrival Time,Arrival Location,Delay,Expected Time,Weather,Peak Hour,Bad Weather,Traffic Congestion,Crew Availability Issue
Boeing 777,2024-10-23 10:30:13.351591,LAS,2024-10-23 16:23:13.351591,SFO,True,2024-10-23 14:30:13.351591,Rain,False,True,False,True
Boeing 737,2024-11-05 22:41:13.351606,JFK,2024-11-06 00:41:13.351606,MIA,False,2024-11-06 00:41:13.351606,Fog,False,True,False,False
Airbus A350,2024-11-05 15:02:13.351615,DFW,2024-11-05 19:48:13.351615,DEN,True,2024-11-05 18:02:13.351615,Clear,False,False,False,False
Airbus A320,2024-11-04 04:22:13.351627,ORD,2024-11-04 08:30:13.351627,SEA,True,2024-11-04 07:22:13.351627,Rain,False,True,False,False
Airbus A350,2024-11-14 17:26:13.351638,LAS,2024-11-14 23:26:13.351638,SFO,False,2024-11-14 23:26:13.351638,Thunderstorm,True,True,False,False
Airbus A320,2024-10-29 10:40:13.351647,DEN,2024-10-29 14:40:13.351647,LAS,False,2024-10-29 14:40:13.351647,Rain,False,True,False,False
Boeing 777,2024-11-12 12:02:13.351657,DEN,2024-11-12 16:02:13.351657,LAX,False,2024-11-12 16:02:13.351657,Snow,False,True,False,False
Airbus A350,2024-10-25 10:11:13.351669,LAX,2024-10-25 13:29:13.351669,DFW,True,2024-10-25 13:11:13.351669,Fog,False,True,False,False
Boeing 777,2024-11-03 04:00:13.351689,LAS,2024-11-03 09:00:13.351689,DEN,False,2024-11-03 09:00:13.351689,Thunderstorm,False,True,False,False
Boeing 737,2024-11-05 03:09:13.351698,SEA,2024-11-05 07:09:13.351698,ATL,False,2024-11-05 07:09:13.351698,Fog,False,True,False,False
Airbus A350,2024-11-05 10:04:13.351708,LAS,2024-11-05 15:04:13.351708,DFW,False,2024-11-05 15:04:13.351708,Clear,False,False,False,False
Boeing 787,2024-11-13 08:40:13.351716,SFO,2024-11-13 15:09:13.351716,DEN,True,2024-11-13 13:40:13.351716,Thunderstorm,True,True,True,False
Airbus A350,2024-10-23 23:14:13.351727,SEA,2024-10-24 02:14:13.351727,JFK,False,2024-10-24 02:14:13.351727,Rain,False,True,False,False
Boeing 737,2024-10-31 09:16:13.351737,MIA,2024-10-31 13:16:13.351737,DEN,False,2024-10-31 13:16:13.351737,Fog,False,True,False,False
Boeing 777,2024-11-16 05:17:13.351762,ATL,2024-11-16 08:11:13.351762,MIA,True,2024-11-16 07:17:13.351762,Rain,False,True,False,True
Boeing 737,2024-10-27 03:26:13.351774,JFK,2024-10-27 06:52:13.351774,MIA,True,2024-10-27 06:26:13.351774,Fog,False,True,False,True
Airbus A350,2024-11-12 11:36:13.351791,DFW,2024-11-12 17:03:13.351791,LAS,True,2024-11-12 15:36:13.351791,Thunderstorm,False,True,False,True
Airbus A320,2024-11-08 03:46:13.351807,MIA,2024-11-08 07:46:13.351807,LAX,False,2024-11-08 07:46:13.351807,Fog,False,True,False,False
Airbus A320,2024-10-25 01:36:13.351816,LAX,2024-10-25 07:27:13.351816,MIA,True,2024-10-25 05:36:13.351816,Thunderstorm,False,True,False,True
Boeing 777,2024-11-11 13:51:13.351827,LAS,2024-11-11 19:51:13.351827,ATL,False,2024-11-11 19:51:13.351827,Clear,False,False,False,False
Boeing 787,2024-11-03 14:27:13.351836,DEN,2024-11-03 20:32:13.351836,LAX,True,2024-11-03 19:27:13.351836,Rain,False,True,False,False
Airbus A350,2024-11-04 16:39:13.351847,LAS,2024-11-04 22:39:13.351847,DEN,False,2024-11-04 22:39:13.351847,Snow,True,True,True,False
Boeing 737,2024-10-28 17:23:13.351857,MIA,2024-10-28 23:23:13.351857,LAS,False,2024-10-28 23:23:13.351857,Snow,True,True,True,False
Boeing 787,2024-11-05 09:09:13.351867,SFO,2024-11-05 13:09:13.351867,ORD,False,2024-11-05 13:09:13.351867,Snow,False,True,False,False
Airbus A350,2024-10-21 18:59:13.351876,MIA,2024-10-21 22:41:13.351876,SEA,True,2024-10-21 20:59:13.351876,Fog,True,True,False,True
Boeing 787,2024-11-15 02:52:13.351887,DEN,2024-11-15 07:53:13.351887,LAS,True,2024-11-15 06:52:13.351887,Rain,False,True,False,False
Airbus A350,2024-11-07 19:09:13.351898,SFO,2024-11-08 00:09:13.351898,LAS,False,2024-11-08 00:09:13.351898,Snow,False,True,False,False
Boeing 787,2024-10-29 09:54:13.351907,MIA,2024-10-29 12:54:13.351907,SFO,False,2024-10-29 12:54:13.351907,Clear,False,False,False,False
Airbus A350,2024-10-28 02:17:13.351916,ORD,2024-10-28 06:17:13.351916,MIA,False,2024-10-28 06:17:13.351916,Clear,False,False,False,False
Airbus A320,2024-11-01 08:06:13.351925,MIA,2024-11-01 10:51:13.351925,DFW,True,2024-11-01 10:06:13.351925,Clear,True,False,True,False
Airbus A320,2024-11-17 03:23:13.351936,DEN,2024-11-17 07:23:13.351936,LAX,False,2024-11-17 07:23:13.351936,Fog,False,True,False,False
Boeing 787,2024-10-22 11:42:13.351945,SFO,2024-10-22 18:37:13.351945,ORD,True,2024-10-22 16:42:13.351945,Clear,False,False,False,False
Boeing 787,2024-10-25 07:38:13.351955,LAX,2024-10-25 13:38:13.351955,JFK,False,2024-10-25 13:38:13.351955,Clear,True,False,True,False
Boeing 737,2024-11-09 22:37:13.351964,LAS,2024-11-10 06:26:13.351964,ATL,True,2024-11-10 04:37:13.351964,Thunderstorm,False,True,False,False
Boeing 787,2024-11-17 21:14:13.351975,DEN,2024-11-18 02:42:13.351975,MIA,True,2024-11-18 01:14:13.351975,Clear,False,False,False,True
Airbus A320,2024-10-26 09:58:13.351986,MIA,2024-10-26 16:28:13.351986,LAX,True,2024-10-26 15:58:13.351986,Clear,False,False,False,False
Boeing 787,2024-10-30 04:01:13.351997,SEA,2024-10-30 08:01:13.351997,DEN,False,2024-10-30 08:01:13.351997,Fog,False,True,False,False
Boeing 737,2024-11-15 23:24:13.352009,DFW,2024-11-16 02:24:13.352009,SFO,False,2024-11-16 02:24:13.352009,Clear,False,False,False,False
Airbus A350,2024-11-19 11:39:13.352024,DFW,2024-11-19 14:56:13.352024,ORD,True,2024-11-19 14:39:13.352024,Rain,False,True,False,False
Airbus A350,2024-11-04 06:16:13.352041,SEA,2024-11-04 10:16:13.352041,MIA,False,2024-11-04 10:16:13.352041,Snow,False,True,False,False
Airbus A350,2024-11-04 05:25:13.352053,LAS,2024-11-04 07:25:13.352053,DEN,False,2024-11-04 07:25:13.352053,Snow,False,True,False,False
Airbus A350,2024-10-23 10:30:13.352068,MIA,2024-10-23 18:17:13.352068,JFK,True,2024-10-23 16:30:13.352068,Snow,False,True,False,True
Airbus A320,2024-11-10 17:45:13.352080,DEN,2024-11-10 23:09:13.352080,SEA,True,2024-11-10 21:45:13.352080,Fog,True,True,False,True
Boeing 787,2024-10-31 13:29:13.352092,SFO,2024-10-31 16:21:13.352092,DEN,True,2024-10-31 15:29:13.352092,Fog,False,True,False,False
Boeing 777,2024-10-22 16:52:13.352110,ATL,2024-10-22 20:52:13.352110,SEA,False,2024-10-22 20:52:13.352110,Snow,True,True,True,False
Boeing 787,2024-11-11 20:16:13.352120,LAS,2024-11-12 01:50:13.352120,JFK,True,2024-11-12 01:16:13.352120,Thunderstorm,False,True,False,False
Airbus A350,2024-11-14 04:00:13.352131,DEN,2024-11-14 08:46:13.352131,LAS,True,2024-11-14 08:00:13.352131,Fog,False,True,False,False
Boeing 737,2024-11-12 08:06:13.352142,JFK,2024-11-12 15:26:13.352142,MIA,True,2024-11-12 14:06:13.352142,Fog,True,True,True,True
Boeing 737,2024-11-10 07:18:13.352153,DEN,2024-11-10 11:18:13.352153,LAX,False,2024-11-10 11:18:13.352153,Fog,True,True,False,False
Boeing 787,2024-11-07 07:11:13.352163,DFW,2024-11-07 12:11:13.352163,LAS,True,2024-11-07 10:11:13.352163,Clear,True,False,False,False
Boeing 777,2024-11-16 03:05:13.352174,LAS,2024-11-16 07:05:13.352174,MIA,False,2024-11-16 07:05:13.352174,Rain,False,True,False,False
Boeing 787,2024-11-01 13:22:13.352185,LAS,2024-11-01 19:22:13.352185,DEN,False,2024-11-01 19:22:13.352185,Fog,False,True,False,False
Boeing 777,2024-11-08 15:01:13.352200,DFW,2024-11-08 20:51:13.352200,MIA,True,2024-11-08 20:01:13.352200,Fog,False,True,False,False
Boeing 787,2024-10-22 07:19:13.352212,ORD,2024-10-22 13:19:13.352212,LAS,False,2024-10-22 13:19:13.352212,Clear,True,False,False,False
Boeing 737,2024-10-22 01:56:13.352222,LAS,2024-10-22 07:15:13.352222,DEN,True,2024-10-22 06:56:13.352222,Fog,False,True,False,False
Boeing 777,2024-11-10 05:41:13.352241,SEA,2024-11-10 09:41:13.352241,ATL,False,2024-11-10 09:41:13.352241,Snow,False,True,False,False
Boeing 787,2024-11-09 05:02:13.352256,LAS,2024-11-09 10:47:13.352256,JFK,True,2024-11-09 09:02:13.352256,Clear,False,False,False,False
Boeing 737,2024-10-27 01:06:13.352270,LAX,2024-10-27 03:57:13.352270,LAS,True,2024-10-27 03:06:13.352270,Clear,False,False,False,False
Boeing 777,2024-10-25 10:20:13.352280,SFO,2024-10-25 15:51:13.352280,DEN,True,2024-10-25 15:20:13.352280,Rain,False,True,False,True
Airbus A350,2024-11-05 20:56:13.352291,ATL,2024-11-05 23:56:13.352291,DFW,False,2024-11-05 23:56:13.352291,Snow,False,True,False,False
Boeing 787,2024-11-18 17:44:13.352300,MIA,2024-11-18 22:03:13.352300,JFK,True,2024-11-18 21:44:13.352300,Fog,True,True,False,False
Boeing 787,2024-11-17 11:59:13.352312,MIA,2024-11-17 16:59:13.352312,LAS,False,2024-11-17 16:59:13.352312,Clear,False,False,False,False
Airbus A320,2024-11-08 12:31:13.352327,ATL,2024-11-08 18:27:13.352327,SFO,True,2024-11-08 16:31:13.352327,Fog,False,True,False,False
Boeing 737,2024-11-19 22:34:13.352344,SEA,2024-11-20 03:34:13.352344,JFK,False,2024-11-20 03:34:13.352344,Rain,False,True,False,False
Airbus A350,2024-11-10 09:26:13.352353,SFO,2024-11-10 14:56:13.352353,DFW,True,2024-11-10 13:26:13.352353,Clear,False,False,False,True
Boeing 777,2024-11-08 14:33:13.352364,DEN,2024-11-08 18:20:13.352364,JFK,True,2024-11-08 17:33:13.352364,Snow,False,True,False,False
Airbus A320,2024-11-15 20:43:13.352375,DFW,2024-11-16 00:43:13.352375,ORD,False,2024-11-16 00:43:13.352375,Rain,False,True,False,False
Boeing 777,2024-11-13 13:38:13.352385,DEN,2024-11-13 15:38:13.352385,MIA,False,2024-11-13 15:38:13.352385,Clear,False,False,False,False
Airbus A320,2024-11-17 20:10:13.352394,DFW,2024-11-17 22:10:13.352394,DEN,False,2024-11-17 22:10:13.352394,Clear,False,False,False,False
Boeing 777,2024-11-04 14:30:13.352403,LAS,2024-11-04 18:30:13.352403,LAX,False,2024-11-04 18:30:13.352403,Snow,False,True,False,False
Boeing 737,2024-10-21 22:43:13.352412,DFW,2024-10-22 04:43:13.352412,LAS,False,2024-10-22 04:43:13.352412,Thunderstorm,False,True,False,False
Airbus A320,2024-11-20 01:06:13.352421,LAX,2024-11-20 06:33:13.352421,LAS,True,2024-11-20 06:06:13.352421,Clear,False,False,False,True
Boeing 777,2024-10-24 10:43:13.352431,DEN,2024-10-24 17:42:13.352431,LAX,True,2024-10-24 16:43:13.352431,Fog,False,True,False,False
Airbus A350,2024-11-18 16:28:13.352442,ATL,2024-11-18 18:28:13.352442,ORD,False,2024-11-18 18:28:13.352442,Thunderstorm,True,True,False,False
Boeing 777,2024-10-27 17:15:13.352452,JFK,2024-10-27 20:15:13.352452,ATL,False,2024-10-27 20:15:13.352452,Clear,True,False,False,False
Airbus A350,2024-11-02 10:59:13.352461,SFO,2024-11-02 12:59:13.352461,JFK,False,2024-11-02 12:59:13.352461,Clear,False,False,False,False
Airbus A320,2024-10-22 13:02:13.352471,SEA,2024-10-22 16:20:13.352471,JFK,True,2024-10-22 16:02:13.352471,Thunderstorm,False,True,False,True
Airbus A350,2024-10-31 07:37:13.352482,DFW,2024-10-31 14:22:13.352482,MIA,True,2024-10-31 13:37:13.352482,Rain,True,True,True,False
Airbus A320,2024-10-25 03:09:13.352493,LAX,2024-10-25 06:09:13.352493,JFK,False,2024-10-25 06:09:13.352493,Clear,False,False,False,False
Airbus A320,2024-10-26 02:13:13.352502,MIA,2024-10-26 09:58:13.352502,JFK,True,2024-10-26 08:13:13.352502,Clear,False,False,False,False
Boeing 787,2024-11-08 06:15:13.352513,SFO,2024-11-08 13:43:13.352513,SEA,True,2024-11-08 12:15:13.352513,Clear,False,False,False,False
Boeing 787,2024-11-05 15:14:13.352524,JFK,2024-11-05 17:14:13.352524,LAX,False,2024-11-05 17:14:13.352524,Fog,False,True,False,False
Boeing 737,2024-11-09 06:51:13.352533,LAX,2024-11-09 09:51:13.352533,ATL,False,2024-11-09 09:51:13.352533,Thunderstorm,False,True,False,False
Airbus A350,2024-11-02 22:20:13.352542,LAS,2024-11-03 02:20:13.352542,SFO,False,2024-11-03 02:20:13.352542,Thunderstorm,False,True,False,False
Airbus A350,2024-11-16 00:54:13.352550,ATL,2024-11-16 07:59:13.352550,LAX,True,2024-11-16 06:54:13.352550,Fog,False,True,False,True
Boeing 787,2024-11-02 16:33:13.352562,SFO,2024-11-02 18:33:13.352562,LAS,False,2024-11-02 18:33:13.352562,Fog,True,True,False,False
Boeing 777,2024-11-11 17:51:13.352572,SFO,2024-11-11 20:12:13.352572,ORD,True,2024-11-11 19:51:13.352572,Fog,True,True,True,False
Airbus A320,2024-11-08 20:22:13.352594,LAS,2024-11-09 01:24:13.352594,JFK,True,2024-11-09 00:22:13.352594,Snow,False,True,False,False
Boeing 737,2024-11-01 06:23:13.352613,MIA,2024-11-01 12:52:13.352613,SFO,True,2024-11-01 12:23:13.352613,Fog,False,True,False,True
Boeing 737,2024-11-01 06:35:13.352627,SFO,2024-11-01 12:28:13.352627,SEA,True,2024-11-01 10:35:13.352627,Fog,False,True,False,True
Airbus A350,2024-10-26 11:31:13.352639,MIA,2024-10-26 15:31:13.352639,JFK,False,2024-10-26 15:31:13.352639,Snow,False,True,False,False
Boeing 737,2024-11-09 00:12:13.352651,ORD,2024-11-09 03:56:13.352651,DFW,True,2024-11-09 02:12:13.352651,Clear,False,False,False,True
Airbus A350,2024-11-03 17:08:13.352763,DFW,2024-11-03 20:08:13.352763,DEN,False,2024-11-03 20:08:13.352763,Snow,True,True,False,False
Airbus A350,2024-11-18 03:56:13.352774,SEA,2024-11-18 08:32:13.352774,LAX,True,2024-11-18 06:56:13.352774,Clear,False,False,False,False
Boeing 787,2024-11-09 17:13:13.352785,ATL,2024-11-09 22:59:13.352785,LAS,True,2024-11-09 21:13:13.352785,Thunderstorm,True,True,True,False
Boeing 787,2024-11-12 00:24:13.352796,LAX,2024-11-12 05:24:13.352796,SFO,False,2024-11-12 05:24:13.352796,Clear,False,False,False,False
Airbus A320,2024-10-21 09:06:13.352805,ATL,2024-10-21 13:53:13.352805,JFK,True,2024-10-21 12:06:13.352805,Snow,False,True,False,False
Boeing 777,2024-11-06 02:14:13.352816,LAX,2024-11-06 06:12:13.352816,JFK,True,2024-11-06 05:14:13.352816,Thunderstorm,False,True,False,True
Airbus A350,2024-10-23 15:42:13.352828,LAS,2024-10-23 17:42:13.352828,SFO,False,2024-10-23 17:42:13.352828,Clear,False,False,False,False
Boeing 787,2024-11-08 16:23:13.352837,LAX,2024-11-08 21:23:13.352837,ATL,False,2024-11-08 21:23:13.352837,Snow,True,True,True,False
Boeing 787,2024-10-26 22:16:13.352846,JFK,2024-10-27 03:21:13.352846,ATL,True,2024-10-27 02:16:13.352846,Clear,False,False,False,True
Boeing 787,2024-11-06 05:12:13.352857,SEA,2024-11-06 09:12:13.352857,ATL,False,2024-11-06 09:12:13.352857,Rain,False,True,False,False
Boeing 777,2024-11-06 22:54:13.352866,ORD,2024-11-07 06:43:13.352866,LAX,True,2024-11-07 04:54:13.352866,Snow,False,True,False,False
Airbus A320,2024-10-25 10:59:13.352877,DFW,2024-10-25 15:46:13.352877,LAX,True,2024-10-25 13:59:13.352877,Clear,False,False,False,True
Boeing 787,2024-11-11 21:28:13.352889,DEN,2024-11-12 03:28:13.352889,LAS,False,2024-11-12 03:28:13.352889,Snow,False,True,False,False
Airbus A320,2024-11-05 17:27:13.352898,DEN,2024-11-05 21:27:13.352898,LAX,False,2024-11-05 21:27:13.352898,Thunderstorm,True,True,True,False
Boeing 777,2024-10-30 17:15:13.352907,LAS,2024-10-30 20:12:13.352907,LAX,True,2024-10-30 19:15:13.352907,Snow,True,True,True,True
Airbus A350,2024-11-02 17:24:13.352919,SEA,2024-11-03 00:31:13.352919,LAS,True,2024-11-02 23:24:13.352919,Thunderstorm,True,True,True,False
Airbus A350,2024-10-25 04:15:13.352933,DEN,2024-10-25 06:15:13.352933,SEA,False,2024-10-25 06:15:13.352933,Clear,False,False,False,False
Airbus A350,2024-10-29 01:15:13.352942,ORD,2024-10-29 07:11:13.352942,JFK,True,2024-10-29 06:15:13.352942,Snow,False,True,False,False
Boeing 787,2024-11-11 21:50:13.352953,ATL,2024-11-12 02:42:13.352953,SFO,True,2024-11-12 01:50:13.352953,Clear,False,False,False,False
Boeing 777,2024-10-31 05:24:13.352964,MIA,2024-10-31 08:24:13.352964,ORD,False,2024-10-31 08:24:13.352964,Snow,False,True,False,False
Boeing 787,2024-10-30 20:11:13.352973,ORD,2024-10-31 01:46:13.352973,LAX,True,2024-10-31 00:11:13.352973,Thunderstorm,False,True,False,True
Boeing 787,2024-10-21 14:06:13.352984,LAS,2024-10-21 17:59:13.352984,SFO,True,2024-10-21 17:06:13.352984,Fog,False,True,False,True
Airbus A320,2024-10-23 12:41:13.352994,ORD,2024-10-23 16:15:13.352994,DFW,True,2024-10-23 14:41:13.352994,Snow,False,True,False,True
Airbus A350,2024-10-26 08:40:13.353005,ATL,2024-10-26 16:22:13.353005,ORD,True,2024-10-26 14:40:13.353005,Fog,True,True,True,False
Boeing 777,2024-11-09 12:35:13.353016,DFW,2024-11-09 18:53:13.353016,LAS,True,2024-11-09 17:35:13.353016,Rain,False,True,False,False
Boeing 787,2024-11-11 21:15:13.353027,DFW,2024-11-12 02:15:13.353027,ATL,False,2024-11-12 02:15:13.353027,Fog,False,True,False,False
Airbus A350,2024-10-26 09:38:13.353036,LAS,2024-10-26 16:20:13.353036,ATL,True,2024-10-26 15:38:13.353036,Clear,False,False,False,False
Boeing 777,2024-11-12 19:41:13.353047,LAS,2024-11-12 21:41:13.353047,LAX,False,2024-11-12 21:41:13.353047,Clear,False,False,False,False
Airbus A320,2024-11-18 18:56:13.353056,MIA,2024-11-19 00:34:13.353056,LAS,True,2024-11-18 23:56:13.353056,Fog,True,True,False,True
Boeing 787,2024-11-06 14:02:13.353068,JFK,2024-11-06 19:59:13.353068,DEN,True,2024-11-06 19:02:13.353068,Rain,False,True,False,True
Boeing 777,2024-11-15 06:55:13.353079,LAX,2024-11-15 08:55:13.353079,ATL,False,2024-11-15 08:55:13.353079,Fog,False,True,False,False
Airbus A320,2024-11-09 03:44:13.353094,DEN,2024-11-09 06:26:13.353094,LAS,True,2024-11-09 05:44:13.353094,Rain,False,True,False,True
Airbus A350,2024-11-03 06:36:13.353123,SEA,2024-11-03 11:24:13.353123,LAS,True,2024-11-03 10:36:13.353123,Clear,False,False,False,True
Airbus A320,2024-10-23 06:40:13.353141,ATL,2024-10-23 13:10:13.353141,LAS,True,2024-10-23 11:40:13.353141,Thunderstorm,False,True,False,True
